Game,Baseline score,Variant score,Winner
894,213,182,baseline
895,237,215,baseline
896,222,194,baseline
897,257,221,baseline
898,242,106,baseline
899,224,49,baseline
900,230,165,baseline
901,239,122,baseline
902,201,77,baseline
903,168,214,variant
904,219,182,baseline
905,176,201,variant
906,229,125,baseline
907,206,43,baseline
908,213,172,baseline
909,143,216,variant
910,176,266,variant
911,144,209,variant
912,169,219,variant
913,105,229,variant
914,233,174,baseline
915,157,218,variant
916,117,231,variant
917,201,100,baseline
918,211,232,variant
919,181,245,variant
920,78,213,variant
921,96,237,variant
922,168,221,variant
923,166,216,variant
924,224,115,baseline
925,210,218,variant
926,75,226,variant
927,236,186,baseline
928,89,227,variant
929,114,208,variant
930,215,54,baseline
931,70,223,variant
932,217,113,baseline
933,205,116,baseline
934,218,139,baseline
935,82,234,variant
936,63,217,variant
937,212,109,baseline
938,231,154,baseline
939,241,189,baseline
940,215,153,baseline
941,223,102,baseline
942,209,129,baseline
943,119,213,variant
944,183,207,variant
945,206,173,baseline
946,127,203,variant
947,226,138,baseline
948,172,228,variant
949,82,200,variant
950,219,169,baseline
951,216,43,baseline
952,193,212,variant
953,208,220,variant
954,203,63,baseline
955,219,125,baseline
956,55,225,variant
957,131,226,variant
958,206,153,baseline
959,68,205,variant
960,210,165,baseline
961,202,142,baseline
962,210,188,baseline
963,134,203,variant
964,228,184,baseline
965,207,156,baseline
966,122,225,variant
967,174,218,variant
968,93,214,variant
969,237,201,baseline
970,93,230,variant
971,208,193,baseline
972,171,211,variant
973,228,144,baseline
974,132,207,variant
975,198,231,variant
976,244,86,baseline
977,120,201,variant
978,112,210,variant
979,179,259,variant
980,214,178,baseline
981,165,218,variant
982,222,104,baseline
983,212,69,baseline
984,211,176,baseline
985,210,98,baseline
986,192,201,variant
987,222,199,baseline
988,112,216,variant
989,126,208,variant
990,151,205,variant
991,197,202,variant
992,84,221,variant
993,213,42,baseline
994,188,200,variant
995,223,143,baseline
996,224,30,baseline
997,168,200,variant
998,148,212,variant
999,125,232,variant
1000,225,38,baseline

Baseline wins:,521,Variant wins:,477,Ties:,2
