Game,Baseline score,Variant score,Winner
979,203,82,baseline
980,189,236,variant
981,229,173,baseline
982,218,68,baseline
983,203,173,baseline
984,137,225,variant
985,231,151,baseline
986,143,233,variant
987,208,95,baseline
988,203,193,baseline
989,206,192,baseline
990,223,213,baseline
991,159,205,variant
992,209,174,baseline
993,224,63,baseline
994,155,225,variant
995,203,156,baseline
996,209,177,baseline
997,218,234,variant
998,154,231,variant
999,88,204,variant
1000,260,114,baseline

Baseline wins:,544,Variant wins:,456,Ties:,0
